Date;Open;High;Low;Close;Adj Close;Volume;;
01.12.2003;1.723.811;1.727.205;171.839;1.718.597;1.718.597;0;;1.403.312
02.12.2003;171.901;1.732.112;1.717.298;1.730.313;1.730.313;0;;491171,8009
03.12.2003;1.730.493;1.731.812;1.725.209;1.728.101;1.728.101;0;;
04.12.2003;1.727.414;1.728.997;1.718.302;1.720.697;1.720.697;0;;
05.12.2003;1.720.608;1.733.102;1.719.809;1.733.102;1.733.102;0;;
08.12.2003;1.729.505;1.736.202;1.727.504;1.734.214;1.734.214;0;;
09.12.2003;1.733.703;1.747.793;1.733.613;1.745.414;1.745.414;0;;
10.12.2003;1.745.292;1.748.007;17.359;1.739.796;1.739.796;0;;
11.12.2003;1.740.008;1.747.702;1.737.891;1.746.206;1.746.206;0;;
12.12.2003;1.746.298;1.751.099;1.744.287;1.747.305;1.747.305;0;;
15.12.2003;1.739.403;1.748.588;1.738.889;1.747.305;1.747.305;0;;
16.12.2003;1.747.213;1.756.111;1.744.014;1.754.201;1.754.201;0;;
17.12.2003;1.754.201;1.769.097;1.750.394;1.765.506;1.765.506;0;;
18.12.2003;1.765.412;1.774.812;1.763.793;1.771.009;1.771.009;0;;
19.12.2003;1.771.197;1.772.798;1.762.611;1.765.194;1.765.194;0;;
22.12.2003;1.762.798;176.719;1.760.594;1.764.291;1.764.291;0;;
23.12.2003;1.763.793;1.834.391;1.763.015;1.764.197;1.764.197;0;;
24.12.2003;1.763.793;1.776.609;1.763.513;17.756;17.756;0;;
25.12.2003;1.775.001;1.776.294;1.772.296;1.775.411;1.775.411;0;;
26.12.2003;1.775.285;1.776.294;1.770.193;1.772.013;1.772.013;0;;
29.12.2003;177.239;1.777.304;1.770.601;1.774.497;1.774.497;0;;
30.12.2003;1.774.088;1.781.515;1.772.892;1.777.999;1.777.999;0;;
31.12.2003;1.777.999;1.794.398;1.777.809;1.788.813;1.788.813;0;;
01.01.2004;1.788.813;1.788.813;1.781.705;1.785.204;1.785.204;0;;
02.01.2004;1.785.587;179.501;1.779.201;179.369;179.369;0;;
05.01.2004;1.795.493;1.810.315;1.795.107;1.807.207;1.807.207;0;;
06.01.2004;1.807.403;1.827.786;180.551;1.821.295;1.821.295;0;;
07.01.2004;1.820.897;1.825.584;1.812.711;1.817.785;1.817.785;0;;
08.01.2004;1.816.695;1.835.603;1.811.102;1.833.887;1.833.887;0;;
09.01.2004;1.833.987;1.850.687;182.909;1.848.087;1.848.087;0;;
12.01.2004;1.847.302;1.857.804;1.845.393;1.845.597;1.845.597;0;;
13.01.2004;1.845.699;1.853.706;1.840.604;1.848.805;1.848.805;0;;
14.01.2004;1.848.907;1.848.907;1.764.104;1.831.703;1.831.703;0;;
15.01.2004;1.833.013;18.353;1.818.512;1.825.184;1.825.184;0;;
16.01.2004;1.825.384;1.826.885;1.794.495;1.799.014;1.799.014;0;;
19.01.2004;1.799.888;1.802.191;1.782.785;1.783.294;1.783.294;0;;
20.01.2004;1.783.008;1.822.191;1.782.912;181.881;181.881;0;;
21.01.2004;1.818.909;1.836.716;1.815.508;1.832.811;1.832.811;0;;
22.01.2004;183.271;1.847.507;183.271;1.843.692;1.843.692;0;;
23.01.2004;1.843.386;1.851.886;1.817.884;1.827.786;1.827.786;0;;
26.01.2004;1.824.984;1.830.295;1.811.299;1.815.014;1.815.014;0;;
27.01.2004;1.815.014;182.919;1.802.809;1.826.684;1.826.684;0;;
28.01.2004;1.826.885;1.838.506;1.812.809;1.815.113;1.815.113;0;;
29.01.2004;1.815.113;1.826.684;1.809.693;1.817.092;1.817.092;0;;
30.01.2004;1.816.299;1.826.284;1.806.587;1.825.284;1.825.284;0;;
02.02.2004;1.824.784;1.827.385;1.814.191;1.821.593;1.821.593;0;;
03.02.2004;1.832.408;1.840.096;182.909;1.837.898;1.837.898;0;;
04.02.2004;1.837.594;1.840.096;182.909;1.832.206;1.832.206;0;;
05.02.2004;1.832.408;1.842.401;1.830.898;183.621;183.621;0;;
06.02.2004;1.836.311;1.850.413;1.832.408;1.847.507;1.847.507;0;;
09.02.2004;1.845.189;1.862.683;1.845.189;1.859.704;1.859.704;0;;
10.02.2004;1.859.808;1.873.396;1.858.391;1.867.309;1.867.309;0;;
11.02.2004;1.867.309;1.893.796;1.865.811;1.892.506;1.892.506;0;;
12.02.2004;1.892.613;1.895.303;188.861;1.893.007;1.893.007;0;;
13.02.2004;1.892.685;1.897.893;1.880.088;1.885.298;1.885.298;0;;
16.02.2004;1.884.694;189.179;1.881.999;1.888.788;1.888.788;0;;
