entry_time,direction,stop_loss,take_profit,confidence
1263394800,DOWN,1136.7,1093.46,0.6
1263416400,UP,1119.24,1175.71,0.6
1263423600,UP,1119.24,1177.81,0.6
1263427200,UP,1119.24,1188.51,0.6
1263429000,UP,1119.24,1190.81,0.6
1263470400,DOWN,1144.84,1111.37,0.6
1263493800,UP,1130.44,1171.66,0.6
1263540600,DOWN,1145.51,1113.04,0.6
1263549600,DOWN,1145.09,1107.26,0.6
1263553200,DOWN,1145.09,1103.25,0.6
1263565800,DOWN,1141.7,1103.42,0.6
1263686400,UP,1129.62,1129.92,0.6
1263765600,DOWN,1129.72,1127.36,0.6
1263769200,UP,1128.55,1140.15,0.6
1263789000,UP,1126.64,1147.79,0.6
1263790800,UP,1126.64,1148.1,0.6
1263792600,UP,1126.64,1148.74,0.6
1263796200,UP,1126.64,1152.63,0.6
1263861000,UP,1131.55,1149.43,0.6
1263862800,UP,1131.55,1151.81,0.6
1263884400,UP,1131.55,1154.84,0.6
1263900600,DOWN,1140.02,1110.75,0.6
1263904200,DOWN,1140.02,1106.31,0.6
1263947400,UP,1128.28,1165.92,0.6
1263967200,DOWN,1141.06,1114.03,0.6
1263972600,DOWN,1141.06,1104.92,0.6
1263992400,DOWN,1141.06,1092.06,0.6
1263994200,DOWN,1141.06,1087.09,0.6
1263999600,DOWN,1135.28,1065.06,0.6
1264001400,DOWN,1135.28,1063.1,0.6
1264055400,UP,1109.85,1128.98,0.6
1264064400,DOWN,1117.2,1085.66,0.6
1264066200,DOWN,1117.2,1081.55,0.6
1264068000,DOWN,1117.2,1076.86,0.6
1264069800,DOWN,1117.2,1068.62,0.6
1264087800,DOWN,1117.2,1046.97,0.6
1264089600,DOWN,1117.2,1034.72,0.6
1264170600,DOWN,1098.2,1063.28,0.6
1264291200,DOWN,1091.92,1091.91,0.6
1264370400,DOWN,1091.92,1091.19,0.6
1264374000,UP,1089.49,1110.23,0.6
1264384800,UP,1089.49,1114.79,0.6
1264397400,UP,1089.49,1121.87,0.6
1264399200,UP,1089.49,1127.84,0.6
1264415400,UP,1089.49,1130.8,0.6
1264467600,UP,1092.8,1121.44,0.6
